"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Bols Crème de Bananes","Edrington Sweden AB","773962","Frukt-och bärlikörer","10710252","17","Nederländerna","Bols","6x50 cl"
"Eau-de-Vie ** PET","Pernod Ricard Sweden AB","707511","Vindestillat","1050200","38","Frankrike","V & S","12x70 cl"
"Martell VS SD 70 cl","Pernod Ricard Sweden AB","768870","Vindestillat","1050518","40","Frankrike","Martell","6x70 cl"
"Sour Fisk Sour Strawberry","Viva Wine & Spirits Group AB","720920","Övrig likör","8238901","15","Danmark","United Drinks","6x70 cl"
"Jacob's Creek Shiraz Cabernet Sauvignon Organic EKO","Pernod Ricard Sweden AB","703859","Fylligt","1050035","12","Australien","Orlando","6x75 cl"
"Lysholms Linie Aquavit","Arcus Sweden AB","702237","Kryddat brännvin","5901/12A","41.5","Norge","","12x70 cl"
"Stonewood Pinot Noir","Hermansson & Co AB","719622","USA","1548201","13.5","USA","Scotto Cellars","12x75 cl"
"Spaten München","ABInbev Humulus Sweden","711397","Ljus lager","6524","5.2","Tyskland","Spaten","20x50 cl"
"Grönstedts VS 40% 70cl","Altia Sweden AB","722157","Vindestillat","1022328","40","Frankrike","Altia","6x70 cl"
"Gammal Norrlands Akvavit","Altia Sweden AB","772720","Kryddat brännvin","1013388","40","Sverige","V & S","12x50 cl"
"Ventiterre Montepulciano d’Abruzzo","Pernod Ricard Sweden AB","714696","Fylligt","1050267","13","Italien","Zonin","6x75 cl"
"The Famous Grouse  12 x 5 cl","Edrington Sweden AB","772092","Blended whisky","10070410","40","Storbritannien","Highland Distillers Brands","10x12x5 cl"
"Sailor Jerry Spiced Rum","Nigab AB","702199","Rom","8774701","40","USA","William Grant & Sons","6x70 cl"
"Ga-Jol Grå Spicy Pepper","Viva Wine & Spirits Group AB","704332","Lakritsbitter","8703001","30","Nederländerna","United Drinks","6x70 cl"
"Koskenkorva Vodka 37,5% 70 CL","Altia Sweden AB","720359","Okryddat brännvin","1021561","37.5","Finland","Altia","12x70 cl"
"Courvoisier VSOP","Edrington Sweden AB","722831","Vindestillat","10820110","40","Frankrike","Courvoisier","6x70 cl"
"Patrón Reposado","Bacardi AB","703520","Tequila","3440039","40","Mexico","","6x70 cl"
"Jacob's Creek Semillon Chardonnay","Pernod Ricard Sweden AB","712232","Torrt","1050138","12.5","Australien","Orlando","12x18,7 cl"
"Cocoon Zinfandel","Oenoforos AB","712111","Fylligt","656801","14","USA","Oenoforos AB","12x75 cl"
"Grappa di Aglianco by Strega","Fine Brands","700643","Pressrestsdestillat","8825602","42","Italien","Strega Alberti Benevento","6x50 cl"
"Grönstedts XO 40% 50cl","Altia Sweden AB","722167","Vindestillat","1022333","40","Frankrike","Altia","6x50 cl"
"Angostura Reserva 3 years","Hermansson & Co AB","706703","Rom","8617201","37.5","Trinidad","Angostura","6x70 cl"
"Gekkeikan Sake","Bornicon & Salming AB","772036","Risvin","10401","14.6","Japan","Gekkeikan","12x75 cl"
"Absolut Pears","Pernod Ricard Sweden AB","782803","Smaksatt vodka","1007029","40","Sverige","V & S","12x70 cl"
"Angostura 1919 rom","Hermansson & Co AB","725911","Rom","24650401","40","Trinidad","Angostura","6x70 cl"
"Jacobs Creek Double Barrel Shiraz","Pernod Ricard Sweden AB","721591","Medel fylligt","1050440","14.9","Australien","Pernod Ricard","6x75 cl"
"Duvel","Galatea AB","722732","Ale","1654-03","8.5","Belgien","Duvel Moortgat","24x33 cl"
"OCHO Blanco","Barkonsult AB","717283","Tequila","00794","40","Mexico","Jose Cuervo International","6x50 cl"
"Sun Gate Chardonnay 75 cl","Pernod Ricard Sweden AB","720764","Halvtorrt","1050436","13.5","USA","","6x75 cl"
"Grant's Triple Wood","Nigab AB","768790","Blended whisky","44801","40","Storbritannien","William Grant & Sons","12x70 cl"
"GALLIANO AMARETTO 28% 6X0.5L","Edrington Sweden AB","720394","Choklad-,kaffe- och nötlikörer","10900107","28","Nederländerna","Lucas Bols","6x50 cl"
"Angostura Orange Bitter","Hermansson & Co AB","700677","Aperitif - bitter","8621004","28","Trinidad","Angostura Limiteds","12x10 cl"
"Don Julio Anejo","Diageo Sweden AB","711079","Tequila","9045501","38","Mexico","","6x70 cl"
"Les Cardounettes Rouge EKO","Arvid Nordquist Hab","717093","Fylligt","47752","13","Frankrike","Foncalieu","12x75 cl"
"Absolut Lime","Pernod Ricard Sweden AB","722711","Smaksatt vodka","1050485","40","Sverige","","6x70 cl"
"Sourz Blackcurrant","Edrington Sweden AB","725729","Frukt-och bärlikörer","11360007","15","Spanien","GLOBAL","6x70 cl"
"Sierra Nevada Pale Ale","Wicked Wine Sweden AB","712313","Öl","SPA 035","5.6","USA","Sierra Nevada Brewing","24x35,5 cl"
"Bols Raspberry","Edrington Sweden AB","771566","Frukt-och bärlikörer","10710328","17","Nederländerna","Bols","6x50 cl"
"Kraken black spiced rum","Arcus Sweden AB","713876","Rom","8685501","40","Dominikanska Republiken","_","6x70 cl"
"Sourz Red Berry","Edrington Sweden AB","790168","Likör","11360026","15","USA","Jim Beam Brands","6x70 cl"
"Moncaro rosso Organic EKO","Viva Wine & Spirits Group AB","720292","Medel fylligt","WMMC02","13","Italien","Terre Cortesi Moncaro","12x75 cl"
"Kronenburg 1664 Blanc","Carlsberg Sverige AB","722338","Veteöl","12692","5","Frankrike","","24x33 cl"
"Chianti Riserva Selezione Oro DOCG","Enjoy Wine & Spirits AB","708114","Italien","7921101","13.5","Italien","Piccini","6x75 cl"
"Glenfiddich Reserve 15 years","Nigab AB","744964","Maltwhisky","30801","40","Storbritannien","William Grant & Sons","6x70 cl"
"De Kuyper Curaçao Blue","Pernod Ricard Sweden AB","700847","Frukt-och bärlikörer","1050555","24","Nederländerna","De Kuyper Royal Distillers","6x50 cl"
"Herrgårds Aquavit","Altia Sweden AB","710565","Kryddat brännvin","1013390","40","Sverige","V & S","12x50 cl"
"Monkey 47 Sloe Gin","Pernod Ricard Sweden AB","722939","Gin","1050472","29","Tyskland","","6x50 cl"
"Mezzacorona Merlot DOC","Enjoy Wine & Spirits AB","714409","Medel fylligt","X50080522501","13","Italien","Mezzacorona","12x75 cl"
"Rhum J.M XO","Renbjer & Magnusson AB","720877","Rom","JMR004","45","Frankrike","","6x70 cl"
"Bols Melon","Edrington Sweden AB","747905","Frukt-och bärlikörer","10710253","17","Nederländerna","Bols","6x50 cl"
"Castillo de Molina Cabernet Sauvignon Res","Pernod Ricard Sweden AB","703958","Chile","1005652","13","Chile","Viña San Pedro","6x75 cl"
"One Wine Blanc PET","Bornicon & Salming AB","714861","Torrt","X5202004304","11.5","Frankrike","Paul Sapin","24x18,7 cl"
"Tokaji St. Stephans Crown 5 Puttonyos","Henkell & Co Sverige AB","722433","Ungern","1290502","10.5","Ungern","Henkell & Söhnlein","6x50 cl"
"Strega","Fine Brands","710609","Likörer av örter, frön eller b","X5482ST0101","40","Italien","Strega Alberti Benevento","6x70 cl"
"Brancott Sauvignon blanc","Pernod Ricard Sweden AB","706929","Torrt","1050066","12.5","Nya Zeeland","_","6x75 cl"
"Zacapa XO","Diageo Sweden AB","701877","Rom","9041924","40","Guatemala","Diageo","6x70 cl"
"Jeanmaire Brut","Pernod Ricard Sweden AB","771114","Frankrike","1000290","12","Frankrike","Jeanmaire","6x75 cl"
"Eristoff Vodka","Bacardi AB","721517","Okryddat brännvin","9000005","37.5","Frankrike","Bacardi","6x70 cl"
"Musella Grappa di Amarone EKO","Enjoy Wine & Spirits AB","705377","Pressrestsdestillat","7005802","45","Italien","Musella","6x50 cl"
"Don Julio Rpsdo","Diageo Sweden AB","711081","Tequila","9045503","38","Mexico","","6x70 cl"
"Bols Amaretto","Edrington Sweden AB","773852","Choklad-,kaffe- och nötlikörer","10710254","24","Nederländerna","Bols","6x50 cl"
"Newcastle Brown Ale","Brewery Internat Sweden AB","771220","Ale","202333","4.7","Storbritannien","Scottish & Newcastle","24x33 cl"
"Amaro Montenegro","Renbjer & Magnusson AB","709090","Aperitif - bitter","8621401/6A","23","Italien","","6x70 cl"
"Sun Gate Zinfandel 75 cl","Pernod Ricard Sweden AB","720769","Medel fylligt","1050437","13.5","USA","","6x75 cl"
"Bacardi Pineapple","Bacardi AB","720694","Rom","9045465","32","Tyskland","","6x70 cl"
"De Kuyper Watermelon","Pernod Ricard Sweden AB","706902","Frukt-och bärlikörer","1050558","20","Nederländerna","De Kuyper Royal Distillers","6x70 cl"
"Giffard Fruit de la Passion","Renbjer & Magnusson AB","727968","Frukt-och bärlikörer","GCR026","20","Frankrike","Giffard","6x50 cl"
"Brooklyn Lager","Carlsberg Sverige AB","743019","Ljus lager","11980","5.2","USA","Brooklyn Brewery","24x35,5 cl"
"Bols Triple Sec","Edrington Sweden AB","771134","Frukt-och bärlikörer","10710255","38","Nederländerna","Bols","6x50 cl"
"Giffard Green Apple","Renbjer & Magnusson AB","727964","Frukt-och bärlikörer","GCR025","20","Frankrike","Giffard","6x70 cl"
"Macallan Amber 40%","Edrington Sweden AB","715299","Maltwhisky","10030018","40","Storbritannien","Macallan-Glenlivet P.L.C","6x70 cl"
"Bowmore 12 years","Edrington Sweden AB","771424","Maltwhisky","11380002","40","Storbritannien","Morrison's Bowmore Distillery","6x70 cl"
"Galipette Cidre Brut","Multibev AB","722441","Torr/halvtorr","8928803K","4.5","Frankrike","","24x33 cl"
