"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Trocadero PET","Spendrups Bryggeri AB","117331","PET, läsk odyl","1309040","","","","24x50 cl"
"Äppeljuice Prisma","Fontana Food AB","763042","Juice drickfärdig: övriga smak","17504","","","","12x1 l"
"Måltidsdryck citron lime","Orkla Foods Sverige","710210","Måltidsdricka konc, övrig smak","54026","","","","1x5 l"
"Kombucha Citron Ingefära EKO","Humm Europe AB","209450","Fruktdryck","1004","","","","12x414 ml"
"Apelsinjuice KRAV ENGL","Saltå Kvarn AB","780661","Juice drickfärdig","5401","","","","6x20 cl"
"Vitamin Well Upgrade Citron Kaktus PET","Vitamin Well AB","113275","Drickfärdiga drycker, övr smak","1100","","","","12x50 cl"
"Nils Oscar Pale Ale Alkoholfri","Nils Oscar AB","115128","Öl alkoholfri","151033","","","","20x33 cl"
"Staropramen 3,5% EG","Carlsberg Sverige AB","103077","Folköl","21806","","","","24x33 cl"
"Cider Päron PET","Herrljunga Cider AB","123919","Cider alkoholfri","2223","","","","12x100 cl"
"Sodavatten","Saturnus AB","117748","Engångsförp, drinkvatten","7761","","","","24x20 cl"
"Lingondricka 1+5","Fruktjuice I Enköping AB","731522","Måltidsdricka konc, lingon","3362-04","","","","1x5 l"
"Pago Apelsinjuice","Eckes Granini Sverige AB","779462","Juice drickfärdig","1001715","","","","12x33 cl"
"Äppelmust Årets skörd ENGL","Kiviks Musteri AB","117426","Must","62976","","","","12x27,5 cl"
"Monin Salted Caramel","Barkonsult AB","719020","Drinkbaser","M155","","","","6x700 ml"
"Tranbärsdryck","Orkla Foods Sverige","156395","Måltidsdricka konc, övrig smak","0828","","","","12x1 l"
"Zingo engångsglas","Carlsberg Sverige AB","101440","Engångsförp, läsk odyl","21987","","","","24x30 cl"
"Festis Strawberry Lime PET","Carlsberg Sverige AB","110925","Drickfärdiga drycker, övr smak","11967","","","","12x50 cl"
"Coca-Cola BIB","Coca-cola European Partners Pl","767666","Engångsförp, läsk odyl","2061","","","","1x10 l"
"Fruktdryck jordgubb","Proviva AB","200660","Fruktdryck","578760","","","","6x1 l"
"Äpplejuice","B&p Handelskompagni AB","744567","Juice drickfärdig: övriga smak","250610","","","","12x1 l"
"Monin Hallon","Barkonsult AB","788908","Drinkbaser","M30","","","","6x700 ml"
"Curiosity Cola","Dryck Sthlm AB","114285","Engångsförp, drinkvatten","2752","","","","12x27,5 cl"
"Fanta Zero Orange BRK","Coca-cola European Partners Pl","115169","Burkar, läsk odyl","3111","","","","24x33 cl"
"Ramlösa Original PET","Carlsberg Sverige AB","115591","PET","14123","","","","24x50 cl"
"Ginger Beer alkoholfri EKO ENGL","Matkompaniet AB","108616","Drickfärdiga drycker, övr smak","31039","","","","20x27,5 cl"
"Juice Ananas Apelsin","Skånemejerier Storhushåll AB","204780","Juice drickfärdig","56143","","","","6x1 l"
"Francos Lemon Sweet & Sour","Barkonsult AB","780686","Drinkbaser","8-43","","","","12x680 g"
"Festis Cactus Lime PET","Carlsberg Sverige AB","110923","Drickfärdiga drycker, övr smak","11965","","","","12x50 cl"
"Staropramen alkoholfri 0,5%","Carlsberg Sverige AB","108450","Öl alkoholfri","22880","","","","24x33 cl"
"Nygårda Cola light REGL","Spendrups Bryggeri AB","121161","Returglas, läsk odyl","1301100","","","","20x33 cl"
"Nygårda Fruktsoda REGL","Spendrups Bryggeri AB","186145","Returglas, läsk odyl","1303800","","","","20x33 cl"
"Mineralvatten San Pellegrino ENGL","Enjoy Wine & Spirits AB","104938","Engångsförpackningar","4206","","","","12x75 cl"
"Vatten Kolsyra PET","Åive AB","120397","PET","3033","","","","12x33 cl"
"Äppeldricka 1+5","Fruktjuice I Enköping AB","731520","Måltidsdricka konc, äpple","3361-04","","","","1x5 l"
"Aquador lätt kolsyrad pet","Saturnus AB","115967","PET","170119","","","","12x50 cl"
"Powerade citrus lime PET","Coca-cola European Partners Pl","106194","Sportdrycker","6450","","","","12x50 cl"
"Jordgubbspure","Brewery Internat Sweden AB","103142","Drinkbaser","103142","","","","12x1 l"
